iter	Logloss
0	0.6673015311
1	0.6476055821
2	0.6293797956
3	0.6139382586
4	0.6018956822
5	0.5905741141
6	0.5814845581
7	0.5728553903
8	0.5663035714
9	0.5602611782
10	0.5551831316
11	0.5512478202
12	0.5473885542
13	0.543837289
14	0.5408504464
15	0.5380820225
16	0.5352877677
17	0.5329245344
18	0.5305419922
19	0.5283672791
20	0.5266372506
21	0.5251335318
22	0.5238330688
23	0.5222907715
24	0.5210002572
25	0.5198703308
26	0.5185848258
27	0.5173589957
28	0.5162824358
29	0.51520047
30	0.5139297442
31	0.5129348406
32	0.5119466291
33	0.5106298741
34	0.5096547241
35	0.5083875994
36	0.5075526297
37	0.5068151245
38	0.5058177447
39	0.5051779393
40	0.504139182
41	0.503203561
42	0.5024407741
43	0.5016377607
44	0.5009100385
45	0.5000361633
46	0.4991506435
47	0.4981088954
48	0.4973596584
49	0.4966466544
50	0.496060839
51	0.4951915152
52	0.4945169678
53	0.4937571804
54	0.4930217067
55	0.4922501526
56	0.4915364772
57	0.4909172407
58	0.4902642561
59	0.4897977208
60	0.4889541539
61	0.4883459037
62	0.4876875741
63	0.4871010611
64	0.486299517
65	0.4855309056
66	0.4848854588
67	0.4840959385
68	0.4833629717
69	0.4828181981
70	0.482401123
71	0.4817949132
72	0.4813361555
73	0.4809058838
74	0.4802956543
75	0.4796052202
76	0.4791919992
77	0.4787468393
78	0.4781510402
79	0.4777044634
80	0.4771960318
81	0.4763334176
82	0.4759497027
83	0.4752377886
84	0.4748033404
85	0.4741186916
86	0.4737855879
87	0.4732326268
88	0.472925027
89	0.4721862662
90	0.4716491438
91	0.4711688189
92	0.4705256348
93	0.4696253924
94	0.469086853
95	0.4684564819
96	0.4680017439
97	0.4674964774
98	0.4670678319
99	0.4665009068
100	0.4658152858
101	0.4649988752
102	0.4643912136
103	0.4637768773
104	0.463196276
105	0.4627524458
106	0.4621793954
107	0.4615344413
108	0.4609586574
109	0.4603766828
110	0.4599536046
111	0.4595141471
112	0.458972726
113	0.4585595529
114	0.4576933114
115	0.4572556327
116	0.4566490914
117	0.4562234628
118	0.4557860979
119	0.4550610352
120	0.4546492004
121	0.4542408447
122	0.4538327157
123	0.453194131
124	0.4524443054
125	0.4517586452
126	0.4513511222
127	0.4508417271
128	0.4503216291
129	0.4497786691
130	0.4492494114
131	0.448696494
132	0.4483929313
133	0.4479887783
134	0.4473547363
135	0.446866163
136	0.4462249712
137	0.4454754464
138	0.4449542193
139	0.4445330811
140	0.443874782
141	0.4429477321
142	0.4424060843
143	0.4416136693
144	0.4410982056
145	0.4406719317
146	0.4402477766
147	0.4397732108
148	0.4393852888
149	0.4387910897
150	0.438423475
151	0.4378931013
152	0.4375324707
153	0.4370765555
154	0.4367327794
155	0.4363155169
156	0.4358524955
157	0.4351839425
158	0.4347274737
159	0.4341279166
160	0.4334369638
161	0.4330704433
162	0.4324959281
163	0.4319897287
164	0.4314485081
165	0.4308693673
166	0.430406529
167	0.4297908718
168	0.4293902937
169	0.4287413504
170	0.4280511911
171	0.4275808934
172	0.4273634818
173	0.4267919704
174	0.4262698059
175	0.4255198669
176	0.4250487932
177	0.4244947771
178	0.4239889221
179	0.4235405361
180	0.4230952192
181	0.422477526
182	0.4219953526
183	0.4215085798
184	0.4210782514
185	0.4206787197
186	0.4202078247
187	0.419743818
188	0.4192783595
189	0.4187810102
190	0.4183269261
191	0.4179775565
192	0.4175055106
193	0.4170608128
194	0.4165039804
195	0.4159266096
196	0.4154783543
197	0.414903316
198	0.41436363
199	0.4138629194
200	0.4134085432
201	0.4130204817
202	0.4127330889
203	0.4123081142
204	0.4116278992
205	0.4110426854
206	0.410455004
207	0.4101664603
208	0.4099225725
209	0.4095825762
210	0.4091606053
211	0.408749952
212	0.4082115914
213	0.4075377328
214	0.407063821
215	0.4065514657
216	0.4059581037
217	0.4054842704
218	0.4050844509
219	0.404548924
220	0.4040861206
221	0.40372035
222	0.4031730565
223	0.4027666364
224	0.4021236703
225	0.401835628
226	0.4014260908
227	0.4009766802
228	0.4002784903
229	0.3997656642
230	0.3994109933
231	0.3990171247
232	0.3985164533
233	0.398194955
234	0.3977758179
235	0.3973532976
236	0.3970059902
237	0.396573992
238	0.3962259609
239	0.3956202131
240	0.3951932853
241	0.3948719831
242	0.3943630938
243	0.3940234288
244	0.3937472491
245	0.3934277039
246	0.3930321524
247	0.3926748483
248	0.3922135664
249	0.3918321577
250	0.3913671439
251	0.3908812735
252	0.3905384609
253	0.3901066459
254	0.3896295776
255	0.3891339983
256	0.3887491629
257	0.388469247
258	0.3880744455
259	0.3878367789
260	0.3874016767
261	0.3870940203
262	0.3865919843
263	0.3862203326
264	0.385809736
265	0.3855664716
266	0.3852130955
267	0.3846462533
268	0.3843249425
269	0.3839515119
270	0.3836265956
271	0.3831587219
272	0.3827149004
273	0.3821876569
274	0.3817746495
275	0.381314488
276	0.3809102783
277	0.3804047546
278	0.3800127563
279	0.3795334909
280	0.3792042977
281	0.3787075326
282	0.3783972822
283	0.3779865417
284	0.3776486162
285	0.3771296561
286	0.376618709
287	0.3762408273
288	0.3758635254
289	0.3754239982
290	0.3748331342
291	0.3744590018
292	0.3739162074
293	0.3736854771
294	0.3732461722
295	0.3728785488
296	0.3722735291
297	0.3719472656
298	0.3715318865
299	0.371247624
300	0.3709345354
301	0.3705352042
302	0.3700169896
303	0.369702083
304	0.3692233451
